,tone_id,reward,dur_iti,t_start,t_tone,t_reinf,bl_lickrate,anticip_lickrate,conso_lickrate
0,2.0,5.0,3.73,0.0008709999965503812,4.463350400008494,5.965012300002854,0.0,0.0,4.5
1,0.0,0.0,7.72,10.858393400005298,19.27592040001764,20.776378100010334,0.0,0.0,0.0
2,2.0,5.0,1.68,25.655317900003865,27.509883299993817,29.0099945999973,0.0,0.0,2.5
3,2.0,5.0,33.75,33.89048040000489,68.33187540000654,69.83220180001808,0.0,0.0,4.0
4,0.0,0.0,4.18,74.71805640001548,79.08023920000414,80.58031650001067,1.0,0.666632312878577,0.0
5,0.0,0.0,29.19,85.45991730000242,115.3754775999987,116.875581100001,0.0,0.0,0.0
6,0.0,0.0,1.03,121.76454490001197,122.97189700001036,124.47199580000597,0.0,0.0,0.0
7,0.0,0.0,12.56,129.3433016000199,142.59893060001195,144.10133930001757,0.0,0.0,0.0
8,2.0,5.0,12.43,148.98396529999445,162.1227041000093,163.62386560000596,0.0,0.0,3.5
9,2.0,5.0,5.49,168.51534320000792,174.18486700000358,175.68721080000978,0.0,0.0,3.5
10,0.0,0.0,7.88,181.06477950001135,189.6632537000114,191.16541750001488,0.0,0.0,0.0
11,0.0,0.0,27.96,196.0457102000073,224.6785455000063,226.17890319999424,0.0,0.6665077267961069,0.0
12,2.0,5.0,7.56,231.0730273000081,239.49442930001533,240.99651739999535,0.0,0.0,3.5
13,2.0,5.0,0.68,245.8754872000136,246.73244140000315,248.23456529999385,0.0,0.6657240458035426,3.0
14,0.0,0.0,15.11,253.1209160000144,268.95789630000945,270.45792889999575,0.0,0.0,0.0
15,0.0,0.0,2.95,275.35265340001206,278.48909970000386,279.9893004000187,0.0,0.0,0.0
16,0.0,0.0,18.06,284.86171810000087,303.64129450000473,305.1433915999951,1.0,0.0,0.0
17,2.0,5.0,34.7,310.0256844999967,345.4244056000025,346.9264395000064,0.0,0.0,6.0
18,2.0,5.0,4.65,351.80912869999884,356.6397019000142,358.1399389000144,0.0,0.6665613499732832,4.5
19,2.0,5.0,19.68,363.02170179999666,383.4108160000178,384.9127952000126,0.0,0.0,5.0
20,0.0,0.0,23.55,389.79260740001337,414.02828560001217,415.52883260001545,0.0,0.6664236441762997,0.0
21,2.0,5.0,0.08,420.417509699997,420.6730017999944,422.1753631000174,0.0,0.0,3.5
22,0.0,0.0,4.92,427.0584320000198,432.156796700001,433.6579498999927,0.0,0.0,0.0
23,2.0,5.0,10.9,438.5354264000198,450.1521525999997,451.6534365999978,0.0,0.0,3.5
24,2.0,5.0,10.35,456.544158100005,467.6024248000176,469.10488650001935,0.0,1.331148740761708,4.5
25,0.0,0.0,22.07,473.99027690000366,496.75037920000614,498.25277730001835,0.0,0.0,0.0
26,2.0,5.0,0.75,503.1394876000122,504.10003070000676,505.6007147000055,2.0,1.9990884156841435,1.5
27,0.0,0.0,16.56,510.48017650001566,527.7537024000194,529.2547620999976,0.0,0.0,0.0
28,2.0,5.0,1.55,534.1332205999934,535.859826800006,537.3601207000029,0.0,0.6665360700340535,4.5
29,0.0,0.0,5.93,542.2408757999947,548.348684800003,549.8487534000014,0.0,0.0,0.0
30,2.0,5.0,40.2,554.7186835000175,595.6351809000189,597.1353340000205,0.0,0.0,4.0
31,0.0,0.0,1.74,602.0255002000195,603.9496452000167,605.4519489000086,0.0,0.0,0.0
